

 OCC  CUM_SUM_DOCS COVERAGE  CUM_SUM_ITEMS
 239           239  97.55 %              1
 229           245 100.00 %              2
 199           245 100.00 %              3
 119           245 100.00 %              4
  84           245 100.00 %              5
  67           245 100.00 %              6
  50           245 100.00 %              7
  46           245 100.00 %              8
  42           245 100.00 %              9
  40           245 100.00 %             10
  38           245 100.00 %             12
  36           245 100.00 %             14
  32           245 100.00 %             15
  30           245 100.00 %             16
  28           245 100.00 %             17
  26           245 100.00 %             20
  24           245 100.00 %             21
  23           245 100.00 %             23
  21           245 100.00 %             25
  20           245 100.00 %             27
  19           245 100.00 %             31
  18           245 100.00 %             32
  17           245 100.00 %             37
  16           245 100.00 %             41
  15           245 100.00 %             44
  14           245 100.00 %             52
  12           245 100.00 %             59
  11           245 100.00 %             71
  10           245 100.00 %             78
   9           245 100.00 %             91
   8           245 100.00 %            104
   7           245 100.00 %            132
   6           245 100.00 %            166
   5           245 100.00 %            205
   4           245 100.00 %            272
   3           245 100.00 %            444
   2           245 100.00 %            936
   1           245 100.00 %           5618

