

 OCC  CUM_SUM_DOCS COVERAGE  CUM_SUM_ITEMS
 119           119  97.54 %              1
 118           122 100.00 %              2
 106           122 100.00 %              3
  54           122 100.00 %              4
  49           122 100.00 %              5
  47           122 100.00 %              6
  43           122 100.00 %              7
  38           122 100.00 %              8
  36           122 100.00 %              9
  27           122 100.00 %             11
  26           122 100.00 %             12
  20           122 100.00 %             13
  18           122 100.00 %             14
  17           122 100.00 %             15
  16           122 100.00 %             17
  14           122 100.00 %             20
  13           122 100.00 %             21
  12           122 100.00 %             26
  11           122 100.00 %             30
  10           122 100.00 %             37
   9           122 100.00 %             44
   8           122 100.00 %             54
   7           122 100.00 %             71
   6           122 100.00 %             87
   5           122 100.00 %            119
   4           122 100.00 %            185
   3           122 100.00 %            301
   2           122 100.00 %            613
   1           122 100.00 %           4285

