

 OCC  CUM_SUM_DOCS COVERAGE  CUM_SUM_ITEMS
 193           193  97.97 %              1
 191           197 100.00 %              2
 167           197 100.00 %              3
  62           197 100.00 %              4
  47           197 100.00 %              5
  45           197 100.00 %              6
  43           197 100.00 %              7
  42           197 100.00 %              8
  31           197 100.00 %              9
  30           197 100.00 %             11
  28           197 100.00 %             13
  27           197 100.00 %             14
  26           197 100.00 %             15
  24           197 100.00 %             16
  23           197 100.00 %             17
  22           197 100.00 %             18
  21           197 100.00 %             19
  20           197 100.00 %             23
  18           197 100.00 %             25
  17           197 100.00 %             29
  16           197 100.00 %             30
  15           197 100.00 %             34
  14           197 100.00 %             41
  13           197 100.00 %             47
  12           197 100.00 %             51
  11           197 100.00 %             56
  10           197 100.00 %             66
   9           197 100.00 %             78
   8           197 100.00 %             96
   7           197 100.00 %            117
   6           197 100.00 %            154
   5           197 100.00 %            195
   4           197 100.00 %            278
   3           197 100.00 %            454
   2           197 100.00 %            900
   1           197 100.00 %           4475

